hs6,chapter,heading,description
610811,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - slips and petticoats : -- of man-made fibres"
610819,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - slips and petticoats : -- of other textile materials"
610821,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - briefs and panties : -- of cotton"
610822,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - briefs and panties : -- of man-made fibres"
610829,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - briefs and panties : -- of other textile materials"
610831,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightdresses and pyjamas : -- of cotton"
610832,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightdresses and pyjamas : -- of man-made fibres"
610839,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightdresses and pyjamas : -- of other textile materials"
610891,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - other : -- of cotton"
610892,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - other : -- of man-made fibres"
610899,61,6108,"womens or girls slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles, knitted or crocheted. - other : -- of other textile materials"
610910,61,6109,"t-shirts, singlets and other vests, knitted or crocheted. - of cotton"
610990,61,6109,"t-shirts, singlets and other vests, knitted or crocheted. - of other textile materials"
611011,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of wool or fine animal hair : -- of wool"
611012,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of wool or fine animal hair : -- of kashmir (cashmere) goats"
611019,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of wool or fine animal hair : -- other"
611020,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of cotton"
611030,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of man-made fibres"
611090,61,6110,"jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - of other textile materials"
611120,61,6111,"babies garments and clothing accessories, knitted or crocheted. - of cotton"
611130,61,6111,"babies garments and clothing accessories, knitted or crocheted. - of synthetic fibres"
611190,61,6111,"babies garments and clothing accessories, knitted or crocheted. - of other textile materials"
611211,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - track suits : -- of cotton"
611212,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - track suits : -- of synthetic fibres"
611219,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - track suits : -- of other textile materials"
611220,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - ski suits"
611231,61,6112,"track suits, ski suits and swimwear, knitted or crocheted. - mens or boys swimwear : -- of synthetic fibres"
